id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
4958,DELIGHT-207,"Materials: Glass, Brass, Polymer Clay Hoops: 18K Gold-Plated Stainless Steel Length: 5,5cm",https://www.precious-joy.com/product/delight-207/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4958,https://www.precious-joy.com/wp-content/uploads/DELIGHT-207a.jpg,"in stock","35 EUR",,,delight-207,,,New,
4954,BLISS-205,"Materials: Glass, Brass, Polymer Clay Hoops: 18K Gold-Plated Stainless Steel Length: 5,5cm",https://www.precious-joy.com/product/bliss-205/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4954,https://www.precious-joy.com/wp-content/uploads/BLISS-205a.jpg,"in stock","35 EUR",,,bliss-205,,,New,
4952,GRACE-206,"Semi-precious Stones: Rose Quartz Other materials: Brass, Polymer Clay Hoops: 18K Gold-Plated Stainless Steel Length: 5,5cm",https://www.precious-joy.com/product/grace-206/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4952,https://www.precious-joy.com/wp-content/uploads/GRACE-206a.jpg,"in stock","40 EUR",,,grace-206,,,New,
4943,VERVE-206,"Semi-precious Stones: Rainbow Veins Other materials: Brass, Silk tassels Studs and Ear Nuts: 18K Gold-Plated Stainless Steel Length: 9cm",https://www.precious-joy.com/product/verve-206/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4943,https://www.precious-joy.com/wp-content/uploads/VERVE-206a.jpg,"in stock","50 EUR",,,verve-206,,,New,
4941,VERVE-201,"Semi-precious Stones: Goldstone, Howlite, Hematite Other materials: Glass, 18K Gold-Plated Stainless-Steel Memory Wire Studs: 18K Gold-Plated Brass Ear Nuts: 18K Gold-Plated Stainless Steel Length: 7,5cm",https://www.precious-joy.com/product/verve-201/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4941,https://www.precious-joy.com/wp-content/uploads/VERVE-201a.jpg,"in stock","75 EUR",,,verve-201,,,New,
4942,VERVE-207,"Semi-precious Stones: Agate, Howlite Other materials: Brass Hoops: 18K Gold-Plated Stainless Steel Length: 4,5cm",https://www.precious-joy.com/product/verve-207/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4942,https://www.precious-joy.com/wp-content/uploads/VERVE-207a.jpg,"in stock","45 EUR",,,verve-207,,,New,
4931,VERVE-204,"Semi-precious Stones: Goldstone Other materials: Brass Hoops: Gold-plated Bronze Length: cm",https://www.precious-joy.com/product/verve-204/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4931,https://www.precious-joy.com/wp-content/uploads/VERVE-204a.jpg,"in stock","55 EUR",,,verve-204,,,New,
4930,VERVE-200,"Semi-precious Stones: Jasper Other materials: Aluminum, Brass, Silk tassels Hooks: 18K Gold-Plated Brass Length: 9cm",https://www.precious-joy.com/product/verve-200/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4930,https://www.precious-joy.com/wp-content/uploads/VERVE-200a.jpg,"in stock","80 EUR",,,verve-200,,,New,
4928,VERVE-202,"Semi-precious Stones: Marble, Hematite Other materials: Brass Hooks: 18K Gold-Plated Brass Length: 9cm",https://www.precious-joy.com/product/verve-202/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4928,https://www.precious-joy.com/wp-content/uploads/VERVE-202a.jpg,"in stock","60 EUR",,,verve-202,,,New,
4919,JOLLITY-204,"Semi-precious Stones: Hematite Other materials: Glass, Brass Hooks: 18K Gold-Plated Brass Length: 9cm",https://www.precious-joy.com/product/jollity-204/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4919,https://www.precious-joy.com/wp-content/uploads/JOLLITY-204a.jpg,"in stock","50 EUR",,,jollity-204,,,New,
4917,VERVE-208,"Semi-precious Stones: Mother of Pearl Other materials: Stainless-steel head pins Pins and Ear Nuts: 18K Gold-Plated Stainless Steel Length: 2cm",https://www.precious-joy.com/product/verve-208/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4917,https://www.precious-joy.com/wp-content/uploads/VERVE-208a.jpg,"in stock","40 EUR",,,verve-208,,,New,
4902,VERVE-203,"Semi-precious Stones: Howlite Other materials: Brass, Silk tassels, Handmade 18K Gold-Plated Stainless-Steel chain Hooks: 18K Gold-Plated Brass Length: 11cm",https://www.precious-joy.com/product/verve-203/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4902,https://www.precious-joy.com/wp-content/uploads/VERVE-203a.jpg,"in stock","55 EUR",,,verve-203,,,New,
4901,VERVE-205,"Semi-precious Stones: Howlite, Hematite Other materials: Brass, Silk tassels Hooks: 18K Gold-Plated Brass Length: 9,5cm",https://www.precious-joy.com/product/verve-205/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4901,https://www.precious-joy.com/wp-content/uploads/VERVE-205a.jpg,"in stock","50 EUR",,,verve-205,,,New,
4899,BLISS-200,"Semi-precious Stones: Hematite, Turquoise Other materials: Brass, Silk tassels Hooks: 18K Gold-Plated Brass Length: 11cm",https://www.precious-joy.com/product/bliss-200/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4899,https://www.precious-joy.com/wp-content/uploads/BLISS-200a.jpg,"in stock","65 EUR",,,bliss-200,,,New,
4897,JOLLITY-200,"Semi-precious Stones: Marble, Hematite, Howlite Other materials: Glass, 18K Gold-Plated Stainless-Steel Memory Wire Studs: 18K Gold-Plated Brass Ear Nuts: 18K Gold-Plated Stainless Steel Length: 7cm",https://www.precious-joy.com/product/jollity-200/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4897,https://www.precious-joy.com/wp-content/uploads/JOLLITY-200b.jpg,"in stock","70 EUR",,,jollity-200,,,New,
4880,JOLLITY-206,"Semi-precious Stones: Marble Other materials: Brass Hoops: 18K Gold-Plated Stainless Steel Length: 4,5cm",https://www.precious-joy.com/product/jollity-206/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4880,https://www.precious-joy.com/wp-content/uploads/JOLLITY-206a.jpg,"in stock","40 EUR",,,jollity-206,,,New,
4881,JOLLITY-208,"Semi-precious Stones: Hematite, Mother of Pearl Hoops: 18K Gold-Plated Stainless Steel Length: 3,5cm",https://www.precious-joy.com/product/jollity-208/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4881,https://www.precious-joy.com/wp-content/uploads/JOLLITY-208a.jpg,"in stock","30 EUR",,,jollity-208,,,New,
